file_type,file_count,total_positive_voxels,mean_positive_voxels,std_positive_voxels,mean_positive_ratio,std_positive_ratio
atty,8,4582315,572789.38,214591.36,0.04,0.01
chlamy,52,2764401,53161.56,54734.07,0.03,0.03
cts,20,1186581,59329.05,68462.16,0.01,0.01
deepict,15,3962280,264152.0,205602.86,0.03,0.02
hdcr,3,1967389,655796.33,257618.5,0.06,0.02
polnet,20,4013663,200683.15,93462.56,0.05,0.02
rory,20,5913582,295679.1,106671.52,0.06,0.02
spinach,91,65987557,725137.99,483262.36,0.06,0.04
virly,7,947002,135286.0,98567.39,0.03,0.02
